Time,jersey_number,Team,Scored Goal,Missed Goal,role
113,3,A,0,0,forward
114,12,A,0,0,forward
115,3,A,0,0,forward
116,12,A,0,0,forward
117,3,A,0,1,forward
118,13,B,0,0,goalkeeper
119,20,B,0,0,defender
120,11,B,0,0,midfielder
121,5,B,1,0,forward
122,4,A,0,0,defender
123,18,A,0,0,midfielder
124,12,A,1,0,forward
125,7,B,0,0,defender
126,11,B,0,0,midfielder
127,5,B,0,0,forward
128,14,B,0,1,forward
129,6,A,0,0,goalkeeper
130,17,A,0,0,defender
131,8,B,0,0,midfielder
132,5,B,0,0,forward
133,14,B,0,0,forward
134,14,B,0,0,forward
135,5,B,1,0,forward
136,18,A,0,0,midfielder
137,5,B,0,0,forward
138,5,B,0,0,forward
139,14,B,0,0,forward
140,14,B,0,0,forward
141,5,B,1,0,forward
142,21,A,0,0,defender
143,9,A,0,0,midfielder
144,12,A,0,0,forward
145,14,B,1,0,forward
146,9,A,0,0,midfielder
147,3,A,1,0,forward
148,5,B,1,0,forward
149,17,A,0,0,defender
150,18,A,0,0,midfielder
151,3,A,1,0,forward
152,5,B,0,1,forward
153,6,A,0,0,goalkeeper
154,21,A,0,0,defender
155,8,B,0,0,midfielder
156,5,B,0,1,forward
157,6,A,0,0,goalkeeper
158,21,A,0,0,defender
159,10,A,0,0,midfielder
160,5,B,1,0,forward
161,15,A,0,0,midfielder
162,12,A,0,0,forward
163,3,A,0,0,forward
164,12,A,0,1,forward
165,13,B,0,0,goalkeeper
166,19,B,0,0,defender
167,1,B,0,0,midfielder
168,5,B,0,0,forward
169,14,B,0,0,forward
170,14,B,0,0,forward
171,5,B,1,0,forward
172,4,A,0,0,defender
173,15,A,0,0,midfielder
174,3,A,1,0,forward
175,2,B,0,0,defender
176,8,B,0,0,midfielder
177,14,B,0,1,forward
178,6,A,0,0,goalkeeper
179,17,A,0,0,defender
180,9,A,0,0,midfielder
181,12,A,0,1,forward
182,13,B,0,0,goalkeeper
183,7,B,0,0,defender
184,11,B,0,0,midfielder
185,14,B,0,0,forward
186,5,B,1,0,forward
187,3,A,1,0,forward
188,11,B,0,0,midfielder
189,14,B,0,1,forward
190,6,A,0,0,goalkeeper
191,21,A,0,0,defender
192,18,A,0,0,midfielder
193,3,A,0,0,forward
194,12,A,0,0,forward
195,12,A,0,1,forward
196,13,B,0,0,goalkeeper
197,7,B,0,0,defender
198,8,B,0,0,midfielder
199,14,B,1,0,forward
200,10,A,0,0,midfielder
201,12,A,0,1,forward
202,13,B,0,0,goalkeeper
203,7,B,0,0,defender
204,1,B,0,0,midfielder
205,5,B,1,0,forward
206,22,A,0,0,defender
207,15,A,0,0,midfielder
208,12,A,1,0,forward
209,19,B,0,0,defender
210,16,B,0,0,midfielder
211,14,B,0,0,forward
212,5,B,1,0,forward
213,12,A,0,0,forward
214,12,A,0,0,forward
215,12,A,0,1,forward
216,13,B,0,0,goalkeeper
217,20,B,0,0,defender
218,11,B,0,0,midfielder
219,14,B,0,1,forward
220,6,A,0,0,goalkeeper
221,22,A,0,0,defender
222,18,A,0,0,midfielder
223,3,A,1,0,forward
224,2,B,0,0,defender
225,11,B,0,0,midfielder
226,5,B,0,0,forward
227,14,B,0,1,forward
228,6,A,0,0,goalkeeper
229,22,A,0,0,defender
230,18,A,0,0,midfielder
231,12,A,0,1,forward
232,13,B,0,0,goalkeeper
233,2,B,0,0,defender
234,11,B,0,0,midfielder
235,5,B,0,0,forward
236,5,B,1,0,forward
237,18,A,0,0,midfielder
238,3,A,0,0,forward
239,12,A,0,1,forward
240,13,B,0,0,goalkeeper
241,19,B,0,0,defender
242,16,B,0,0,midfielder
243,14,B,0,1,forward
244,6,A,0,0,goalkeeper
245,21,A,0,0,defender
246,10,A,0,0,midfielder
247,12,A,0,0,forward
248,5,B,1,0,forward
249,10,A,0,0,midfielder
250,12,A,0,0,forward
251,3,A,1,0,forward
252,11,B,0,0,midfielder
253,5,B,0,0,forward
254,14,B,0,0,forward
255,5,B,0,1,forward
256,6,A,0,0,goalkeeper
257,17,A,0,0,defender
258,15,A,0,0,midfielder
259,5,B,1,0,forward
260,12,A,0,1,forward
261,13,B,0,0,goalkeeper
262,19,B,0,0,defender
263,1,B,0,0,midfielder
264,3,A,0,0,forward
265,3,A,1,0,forward
266,1,B,0,0,midfielder
267,14,B,0,0,forward
268,14,B,1,0,forward
269,10,A,0,0,midfielder
270,14,B,0,0,forward
271,5,B,1,0,forward
272,12,A,0,1,forward
273,13,B,0,0,goalkeeper
274,7,B,0,0,defender
275,11,B,0,0,midfielder
276,12,A,0,1,forward
277,13,B,0,0,goalkeeper
278,2,B,0,0,defender
279,8,B,0,0,midfielder
280,5,B,0,0,forward
281,14,B,0,1,forward
282,6,A,0,0,goalkeeper
283,17,A,0,0,defender
284,18,A,0,0,midfielder
285,12,A,0,1,forward
286,13,B,0,0,goalkeeper
287,17,A,0,0,defender
288,10,A,0,0,midfielder
289,12,A,0,1,forward
290,13,B,0,0,goalkeeper
291,7,B,0,0,defender
292,1,B,0,0,midfielder
293,14,B,0,0,forward
294,5,B,1,0,forward
295,15,A,0,0,midfielder
296,3,A,0,0,forward
297,3,A,0,0,forward
298,3,A,1,0,forward
299,14,B,0,1,forward
300,6,A,0,0,goalkeeper
301,4,A,0,0,defender
302,18,A,0,0,midfielder
303,12,A,0,0,forward
304,3,A,0,0,forward
305,3,A,0,0,forward
306,3,A,1,0,forward
307,1,B,0,0,midfielder
308,12,A,0,0,forward
309,12,A,0,0,forward
310,3,A,0,0,forward
311,3,A,1,0,forward
312,7,B,0,0,defender
313,11,B,0,0,midfielder
314,5,B,0,0,forward
315,12,A,0,0,forward
316,12,A,0,1,forward
317,13,B,0,0,goalkeeper
318,2,B,0,0,defender
319,16,B,0,0,midfielder
320,5,B,1,0,forward
321,10,A,0,0,midfielder
322,12,A,0,0,forward
323,12,A,0,1,forward
324,13,B,0,0,goalkeeper
325,19,B,0,0,defender
326,1,B,0,0,midfielder
327,14,B,0,0,forward
328,5,B,0,0,forward
329,5,B,1,0,forward
330,21,A,0,0,defender
331,18,A,0,0,midfielder
332,3,A,0,0,forward
333,5,B,1,0,forward
334,3,A,1,0,forward
335,8,B,0,0,midfielder
336,5,B,1,0,forward
337,21,A,0,0,defender
338,15,A,0,0,midfielder
339,12,A,0,0,forward
340,12,A,0,1,forward
341,13,B,0,0,goalkeeper
342,20,B,0,0,defender
343,18,A,0,0,midfielder
344,12,A,0,1,forward
345,13,B,0,0,goalkeeper
346,17,A,0,0,defender
347,15,A,0,0,midfielder
348,3,A,0,0,forward
349,12,A,0,0,forward
350,12,A,0,1,forward
351,13,B,0,0,goalkeeper
352,7,B,0,0,defender
353,11,B,0,0,midfielder
354,5,B,1,0,forward
355,4,A,0,0,defender
356,18,A,0,0,midfielder
357,12,A,1,0,forward
358,1,B,0,0,midfielder
359,14,B,0,0,forward
360,5,B,0,0,forward
361,5,B,0,0,forward
362,14,B,0,1,forward
363,6,A,0,0,goalkeeper
364,17,A,0,0,defender
365,15,A,0,0,midfielder
366,12,A,0,1,forward
367,13,B,0,0,goalkeeper
368,20,B,0,0,defender
369,8,B,0,0,midfielder
370,14,B,0,0,forward
371,5,B,1,0,forward
372,22,A,0,0,defender
373,18,A,0,0,midfielder
374,12,A,0,0,forward
375,3,A,0,1,forward
376,13,B,0,0,goalkeeper
377,4,A,0,0,defender
378,10,A,0,0,midfielder
379,5,B,1,0,forward
380,9,A,0,0,midfielder
381,12,A,0,1,forward
382,13,B,0,0,goalkeeper
383,19,B,0,0,defender
384,16,B,0,0,midfielder
385,5,B,1,0,forward
386,21,A,0,0,defender
387,10,A,0,0,midfielder
388,3,A,1,0,forward
389,7,B,0,0,defender
390,11,B,0,0,midfielder
391,3,A,1,0,forward
392,20,B,0,0,defender
393,11,B,0,0,midfielder
394,14,B,0,1,forward
395,6,A,0,0,goalkeeper
396,17,A,0,0,defender
397,10,A,0,0,midfielder
398,3,A,0,0,forward
399,12,A,0,0,forward
400,12,A,0,0,forward
401,12,A,0,1,forward
402,13,B,0,0,goalkeeper
403,2,B,0,0,defender
404,16,B,0,0,midfielder
405,14,B,0,0,forward
406,5,B,1,0,forward
407,18,A,0,0,midfielder
408,3,A,0,0,forward
409,3,A,0,1,forward
410,13,B,0,0,goalkeeper
411,19,B,0,0,defender
412,9,A,0,0,midfielder
413,3,A,0,1,forward
414,13,B,0,0,goalkeeper
415,20,B,0,0,defender
416,8,B,0,0,midfielder
417,5,B,1,0,forward
418,21,A,0,0,defender
419,9,A,0,0,midfielder
420,12,A,0,1,forward
421,13,B,0,0,goalkeeper
422,7,B,0,0,defender
423,11,B,0,0,midfielder
424,14,B,0,0,forward
425,5,B,0,0,forward
426,14,B,0,1,forward
427,6,A,0,0,goalkeeper
428,21,A,0,0,defender
429,9,A,0,0,midfielder
430,3,A,0,1,forward
431,13,B,0,0,goalkeeper
432,19,B,0,0,defender
433,1,B,0,0,midfielder
434,14,B,0,0,forward
435,5,B,0,1,forward
436,6,A,0,0,goalkeeper
437,4,A,0,0,defender
438,15,A,0,0,midfielder
439,12,A,0,0,forward
440,12,A,0,1,forward
441,13,B,0,0,goalkeeper
442,19,B,0,0,defender
443,16,B,0,0,midfielder
444,14,B,0,1,forward
445,6,A,0,0,goalkeeper
446,17,A,0,0,defender
447,10,A,0,0,midfielder
448,3,A,1,0,forward
449,5,B,1,0,forward
450,12,A,0,0,forward
451,12,A,0,1,forward
452,13,B,0,0,goalkeeper
453,7,B,0,0,defender
454,18,A,0,0,midfielder
455,12,A,0,0,forward
456,12,A,0,1,forward
457,13,B,0,0,goalkeeper
458,19,B,0,0,defender
459,11,B,0,0,midfielder
460,14,B,0,0,forward
461,5,B,0,0,forward
462,14,B,0,0,forward
463,3,A,0,0,forward
464,14,B,1,0,forward
465,17,A,0,0,defender
466,10,A,0,0,midfielder
467,3,A,0,1,forward
468,13,B,0,0,goalkeeper
469,2,B,0,0,defender
470,16,B,0,0,midfielder
471,5,B,0,0,forward
472,12,A,0,0,forward
473,5,B,0,0,forward
474,14,B,1,0,forward
475,9,A,0,0,midfielder
476,14,B,0,1,forward
477,6,A,0,0,goalkeeper
478,4,A,0,0,defender
479,15,A,0,0,midfielder
480,3,A,0,0,forward
481,3,A,1,0,forward
482,1,B,0,0,midfielder
483,5,B,0,0,forward
484,14,B,0,0,forward
485,5,B,0,0,forward
486,14,B,0,1,forward
487,6,A,0,0,goalkeeper
488,17,A,0,0,defender
489,10,A,0,0,midfielder
490,12,A,0,0,forward
491,12,A,0,0,forward
492,12,A,0,0,forward
493,3,A,1,0,forward
494,16,B,0,0,midfielder
495,12,A,0,1,forward
496,13,B,0,0,goalkeeper
497,7,B,0,0,defender
498,18,A,0,0,midfielder
499,3,A,0,0,forward
500,12,A,0,1,forward
501,13,B,0,0,goalkeeper
502,20,B,0,0,defender
503,18,A,0,0,midfielder
504,5,B,0,1,forward
505,6,A,0,0,goalkeeper
506,22,A,0,0,defender
507,9,A,0,0,midfielder
508,3,A,1,0,forward
509,8,B,0,0,midfielder
510,5,B,1,0,forward
511,18,A,0,0,midfielder
512,12,A,0,0,forward
513,12,A,0,0,forward
514,3,A,0,0,forward
515,3,A,1,0,forward
516,1,B,0,0,midfielder
517,5,B,1,0,forward
518,22,A,0,0,defender
519,18,A,0,0,midfielder
520,3,A,0,1,forward
521,13,B,0,0,goalkeeper
522,22,A,0,0,defender
523,9,A,0,0,midfielder
524,3,A,0,0,forward
525,3,A,0,1,forward
526,13,B,0,0,goalkeeper
527,20,B,0,0,defender
528,8,B,0,0,midfielder
529,14,B,0,0,forward
530,14,B,0,0,forward
531,14,B,0,0,forward
532,12,A,0,0,forward
533,12,A,0,0,forward
534,12,A,0,1,forward
535,13,B,0,0,goalkeeper
536,2,B,0,0,defender
537,16,B,0,0,midfielder
538,14,B,1,0,forward
539,10,A,0,0,midfielder
540,3,A,0,1,forward
541,13,B,0,0,goalkeeper
542,20,B,0,0,defender
543,18,A,0,0,midfielder
544,3,A,1,0,forward
545,20,B,0,0,defender
546,1,B,0,0,midfielder
547,14,B,0,1,forward
548,6,A,0,0,goalkeeper
549,17,A,0,0,defender
550,18,A,0,0,midfielder
551,12,A,0,0,forward
552,3,A,0,0,forward
553,12,A,0,0,forward
554,3,A,0,0,forward
555,3,A,1,0,forward
556,14,B,0,1,forward
557,6,A,0,0,goalkeeper
558,22,A,0,0,defender
559,9,A,0,0,midfielder
560,12,A,0,1,forward
561,13,B,0,0,goalkeeper
562,22,A,0,0,defender
563,10,A,0,0,midfielder
564,3,A,1,0,forward
565,1,B,0,0,midfielder
566,5,B,0,0,forward
567,14,B,1,0,forward
568,3,A,0,0,forward
569,12,A,0,0,forward
570,12,A,0,1,forward
571,13,B,0,0,goalkeeper
572,19,B,0,0,defender
573,18,A,0,0,midfielder
574,12,A,0,1,forward
575,13,B,0,0,goalkeeper
576,20,B,0,0,defender
577,1,B,0,0,midfielder
578,14,B,0,0,forward
579,14,B,0,0,forward
580,14,B,0,1,forward
581,6,A,0,0,goalkeeper
582,22,A,0,0,defender
583,10,A,0,0,midfielder
584,5,B,0,1,forward
585,6,A,0,0,goalkeeper
586,21,A,0,0,defender
587,18,A,0,0,midfielder
588,12,A,0,1,forward
589,13,B,0,0,goalkeeper
590,17,A,0,0,defender
591,10,A,0,0,midfielder
592,3,A,0,0,forward
593,3,A,1,0,forward
594,5,B,0,0,forward
595,5,B,0,0,forward
596,14,B,0,0,forward
597,5,B,1,0,forward
598,15,A,0,0,midfielder
599,3,A,0,0,forward
600,12,A,0,0,forward
601,12,A,0,0,forward
602,5,B,1,0,forward
603,4,A,0,0,defender
604,10,A,0,0,midfielder
605,3,A,0,0,forward
606,12,A,0,1,forward
607,13,B,0,0,goalkeeper
608,20,B,0,0,defender
609,11,B,0,0,midfielder
610,14,B,0,0,forward
611,14,B,0,0,forward
612,14,B,0,1,forward
613,6,A,0,0,goalkeeper
614,21,A,0,0,defender
615,18,A,0,0,midfielder
616,3,A,0,0,forward
617,3,A,1,0,forward
618,14,B,0,0,forward
619,14,B,0,1,forward
620,6,A,0,0,goalkeeper
621,4,A,0,0,defender
622,16,B,0,0,midfielder
623,14,B,0,0,forward
624,14,B,0,1,forward
625,6,A,0,0,goalkeeper
626,21,A,0,0,defender
627,15,A,0,0,midfielder
628,3,A,1,0,forward
629,7,B,0,0,defender
630,8,B,0,0,midfielder
631,14,B,1,0,forward
632,15,A,0,0,midfielder
633,3,A,1,0,forward
634,8,B,0,0,midfielder
635,14,B,0,0,forward
636,14,B,0,0,forward
637,14,B,0,1,forward
638,6,A,0,0,goalkeeper
639,21,A,0,0,defender
640,9,A,0,0,midfielder
641,14,B,0,1,forward
642,6,A,0,0,goalkeeper
643,21,A,0,0,defender
644,15,A,0,0,midfielder
645,3,A,1,0,forward
646,16,B,0,0,midfielder
647,5,B,0,0,forward
648,5,B,0,1,forward
649,6,A,0,0,goalkeeper
650,4,A,0,0,defender
651,10,A,0,0,midfielder
652,3,A,0,0,forward
653,12,A,0,1,forward
654,13,B,0,0,goalkeeper
655,2,B,0,0,defender
656,11,B,0,0,midfielder
657,14,B,1,0,forward
658,18,A,0,0,midfielder
659,12,A,0,0,forward
660,12,A,0,0,forward
661,12,A,1,0,forward
662,20,B,0,0,defender
663,9,A,0,0,midfielder
664,12,A,0,1,forward
665,13,B,0,0,goalkeeper
666,7,B,0,0,defender
667,11,B,0,0,midfielder
668,14,B,0,1,forward
669,6,A,0,0,goalkeeper
670,4,A,0,0,defender
671,18,A,0,0,midfielder
672,12,A,0,1,forward
673,13,B,0,0,goalkeeper
674,19,B,0,0,defender
675,16,B,0,0,midfielder
676,14,B,0,1,forward
677,6,A,0,0,goalkeeper
678,17,A,0,0,defender
679,15,A,0,0,midfielder
680,12,A,0,0,forward
681,12,A,0,0,forward
682,12,A,0,1,forward
683,13,B,0,0,goalkeeper
684,19,B,0,0,defender
685,1,B,0,0,midfielder
686,5,B,0,0,forward
687,5,B,0,0,forward
688,5,B,0,0,forward
689,5,B,0,1,forward
690,6,A,0,0,goalkeeper
691,22,A,0,0,defender
692,18,A,0,0,midfielder
693,12,A,0,0,forward
694,3,A,1,0,forward
695,2,B,0,0,defender
696,11,B,0,0,midfielder
697,14,B,0,0,forward
698,5,B,1,0,forward
699,21,A,0,0,defender
700,10,A,0,0,midfielder
701,3,A,0,0,forward
702,12,A,0,0,forward
703,3,A,0,0,forward
704,3,A,1,0,forward
705,20,B,0,0,defender
706,11,B,0,0,midfielder
707,5,B,0,0,forward
708,14,B,0,1,forward
709,6,A,0,0,goalkeeper
710,22,A,0,0,defender
711,18,A,0,0,midfielder
712,3,A,1,0,forward
713,11,B,0,0,midfielder
714,5,B,1,0,forward
715,15,A,0,0,midfielder
716,14,B,0,1,forward
717,6,A,0,0,goalkeeper
718,22,A,0,0,defender
719,10,A,0,0,midfielder
720,12,A,0,1,forward
721,13,B,0,0,goalkeeper
722,19,B,0,0,defender
723,8,B,0,0,midfielder
724,5,B,0,1,forward
725,6,A,0,0,goalkeeper
726,22,A,0,0,defender
727,18,A,0,0,midfielder
728,5,B,0,0,forward
729,5,B,1,0,forward
730,4,A,0,0,defender
731,15,A,0,0,midfielder
732,12,A,0,0,forward
733,3,A,0,0,forward
734,12,A,0,0,forward
735,3,A,0,0,forward
736,12,A,0,0,forward
737,3,A,0,0,forward
738,12,A,0,0,forward
739,12,A,0,0,forward
740,3,A,0,0,forward
741,12,A,0,1,forward
742,13,B,0,0,goalkeeper
743,2,B,0,0,defender
744,8,B,0,0,midfielder
745,5,B,1,0,forward
746,21,A,0,0,defender
747,15,A,0,0,midfielder
748,12,A,0,1,forward
749,13,B,0,0,goalkeeper
750,20,B,0,0,defender
751,18,A,0,0,midfielder
752,12,A,0,1,forward
753,13,B,0,0,goalkeeper
754,19,B,0,0,defender
755,8,B,0,0,midfielder
756,14,B,0,0,forward
757,5,B,0,1,forward
758,6,A,0,0,goalkeeper
759,22,A,0,0,defender
760,18,A,0,0,midfielder
761,3,A,0,0,forward
762,3,A,0,0,forward
763,12,A,0,0,forward
764,12,A,0,0,forward
765,3,A,1,0,forward
766,5,B,1,0,forward
767,12,A,0,0,forward
768,3,A,1,0,forward
769,7,B,0,0,defender
770,18,A,0,0,midfielder
771,12,A,0,0,forward
772,12,A,0,1,forward
773,13,B,0,0,goalkeeper
774,19,B,0,0,defender
775,18,A,0,0,midfielder
776,3,A,1,0,forward
777,1,B,0,0,midfielder
778,14,B,0,1,forward
779,6,A,0,0,goalkeeper
780,22,A,0,0,defender
781,15,A,0,0,midfielder
782,12,A,0,0,forward
783,3,A,1,0,forward
784,5,B,0,1,forward
785,6,A,0,0,goalkeeper
786,21,A,0,0,defender
787,9,A,0,0,midfielder
788,12,A,0,1,forward
789,13,B,0,0,goalkeeper
790,20,B,0,0,defender
791,8,B,0,0,midfielder
792,14,B,1,0,forward
793,18,A,0,0,midfielder
794,3,A,1,0,forward
795,1,B,0,0,midfielder
796,5,B,0,0,forward
797,5,B,1,0,forward
798,3,A,0,0,forward
799,3,A,0,0,forward
800,12,A,0,0,forward
801,12,A,0,0,forward
802,12,A,0,1,forward
803,13,B,0,0,goalkeeper
804,20,B,0,0,defender
805,16,B,0,0,midfielder
806,3,A,0,0,forward
807,3,A,0,0,forward
808,12,A,0,0,forward
809,14,B,0,0,forward
810,5,B,0,0,forward
811,5,B,1,0,forward
812,4,A,0,0,defender
813,11,B,0,0,midfielder
814,14,B,0,1,forward
815,6,A,0,0,goalkeeper
816,4,A,0,0,defender
817,9,A,0,0,midfielder
818,3,A,1,0,forward
819,14,B,0,1,forward
820,6,A,0,0,goalkeeper
821,21,A,0,0,defender
822,15,A,0,0,midfielder
823,3,A,1,0,forward
824,2,B,0,0,defender
825,8,B,0,0,midfielder
826,3,A,0,0,forward
827,12,A,0,0,forward
828,12,A,0,0,forward
829,3,A,0,0,forward
830,12,A,0,0,forward
831,12,A,0,1,forward
832,13,B,0,0,goalkeeper
833,20,B,0,0,defender
834,8,B,0,0,midfielder
835,5,B,0,0,forward
836,5,B,0,0,forward
837,14,B,0,1,forward
838,6,A,0,0,goalkeeper
839,4,A,0,0,defender
840,9,A,0,0,midfielder
841,12,A,0,0,forward
842,12,A,0,0,forward
843,3,A,0,0,forward
844,12,A,0,1,forward
845,13,B,0,0,goalkeeper
846,2,B,0,0,defender
847,1,B,0,0,midfielder
848,12,A,0,0,forward
849,12,A,0,1,forward
850,13,B,0,0,goalkeeper
851,19,B,0,0,defender
852,8,B,0,0,midfielder
853,5,B,0,0,forward
854,5,B,0,0,forward
855,14,B,0,1,forward
856,6,A,0,0,goalkeeper
857,21,A,0,0,defender
858,9,A,0,0,midfielder
859,12,A,0,1,forward
860,13,B,0,0,goalkeeper
861,2,B,0,0,defender
862,8,B,0,0,midfielder
863,14,B,0,0,forward
864,14,B,0,0,forward
865,5,B,1,0,forward
866,12,A,0,0,forward
867,3,A,1,0,forward
868,8,B,0,0,midfielder
869,5,B,0,0,forward
870,14,B,1,0,forward
871,17,A,0,0,defender
872,9,A,0,0,midfielder
873,3,A,1,0,forward
874,5,B,0,0,forward
875,5,B,1,0,forward
876,9,A,0,0,midfielder
877,3,A,0,0,forward
878,12,A,1,0,forward
879,7,B,0,0,defender
880,16,B,0,0,midfielder
881,5,B,1,0,forward
882,3,A,1,0,forward
883,5,B,0,1,forward
884,6,A,0,0,goalkeeper
885,20,B,0,0,defender
886,11,B,0,0,midfielder
887,3,A,0,0,forward
888,3,A,1,0,forward
889,2,B,0,0,defender
890,10,A,0,0,midfielder
891,3,A,0,0,forward
892,3,A,1,0,forward
893,19,B,0,0,defender
894,8,B,0,0,midfielder
895,14,B,0,0,forward
896,14,B,0,0,forward
897,5,B,0,0,forward
898,5,B,0,0,forward
899,14,B,0,1,forward
900,6,A,0,0,goalkeeper
901,21,A,0,0,defender
902,9,A,0,0,midfielder
903,3,A,1,0,forward
904,8,B,0,0,midfielder
905,14,B,0,0,forward
906,14,B,1,0,forward
907,9,A,0,0,midfielder
908,12,A,0,0,forward
909,3,A,0,0,forward
910,3,A,1,0,forward
911,20,B,0,0,defender
912,1,B,0,0,midfielder
913,5,B,0,0,forward
914,14,B,0,1,forward
915,6,A,0,0,goalkeeper
916,22,A,0,0,defender
917,9,A,0,0,midfielder
918,3,A,0,0,forward
919,12,A,0,0,forward
920,12,A,0,1,forward
921,13,B,0,0,goalkeeper
922,7,B,0,0,defender
923,11,B,0,0,midfielder
924,12,A,0,1,forward
925,13,B,0,0,goalkeeper
926,2,B,0,0,defender
927,11,B,0,0,midfielder
928,5,B,1,0,forward
929,21,A,0,0,defender
930,9,A,0,0,midfielder
931,12,A,0,1,forward
932,13,B,0,0,goalkeeper
933,7,B,0,0,defender
934,18,A,0,0,midfielder
935,12,A,0,0,forward
936,12,A,0,1,forward
937,13,B,0,0,goalkeeper
938,2,B,0,0,defender
939,8,B,0,0,midfielder
940,14,B,0,1,forward
941,6,A,0,0,goalkeeper
942,4,A,0,0,defender
943,10,A,0,0,midfielder
944,12,A,0,0,forward
945,12,A,0,0,forward
946,12,A,1,0,forward
947,7,B,0,0,defender
948,10,A,0,0,midfielder
949,3,A,1,0,forward
950,2,B,0,0,defender
951,16,B,0,0,midfielder
952,5,B,0,0,forward
953,14,B,0,0,forward
954,5,B,1,0,forward
955,3,A,0,0,forward
956,3,A,0,1,forward
957,13,B,0,0,goalkeeper
958,7,B,0,0,defender
959,11,B,0,0,midfielder
960,14,B,0,0,forward
961,14,B,0,1,forward
962,6,A,0,0,goalkeeper
963,17,A,0,0,defender
964,10,A,0,0,midfielder
965,12,A,0,1,forward
966,13,B,0,0,goalkeeper
967,7,B,0,0,defender
968,8,B,0,0,midfielder
969,14,B,0,0,forward
970,14,B,0,1,forward
971,6,A,0,0,goalkeeper
972,21,A,0,0,defender
973,9,A,0,0,midfielder
974,12,A,0,0,forward
975,12,A,0,0,forward
976,3,A,0,0,forward
977,12,A,0,1,forward
978,13,B,0,0,goalkeeper
979,2,B,0,0,defender
980,9,A,0,0,midfielder
981,12,A,0,1,forward
982,13,B,0,0,goalkeeper
983,2,B,0,0,defender
984,11,B,0,0,midfielder
985,5,B,0,1,forward
986,6,A,0,0,goalkeeper
987,22,A,0,0,defender
988,10,A,0,0,midfielder
989,3,A,1,0,forward
990,19,B,0,0,defender
991,8,B,0,0,midfielder
992,5,B,0,0,forward
993,5,B,1,0,forward
994,10,A,0,0,midfielder
995,3,A,1,0,forward
996,8,B,0,0,midfielder
997,14,B,1,0,forward
998,22,A,0,0,defender
999,18,A,0,0,midfielder
